case_id,pool,family,expected_behavior,relation_kinds,PASS_FAIL,reason
R2O-PG-H041,holdout,partially_sufficient_evidence,partial,process,PASS,ok
R2O-PG-H042,holdout,short_query,answer,factual,PASS,ok
R2O-PG-H043,holdout,long_compositional_query,answer,process,PASS,ok
R2O-PG-H044,holdout,temporal_version,abstain,temporal,PASS,ok
SENTINEL-Q1-A,sentinel,simple_definition,answer,causal|causal|relationship,PASS,ok
SENTINEL-Q1-B,sentinel,contextual_definition,answer,causal|causal|causal|relationship,PASS,ok
SENTINEL-Q1-C,sentinel,role_responsibility,answer,causal|causal|relationship|tradeoff,PASS,ok
SENTINEL-Q2-A,sentinel,contextual_definition,answer,requirement,PASS,ok
SENTINEL-Q2-B,sentinel,capability_skill_requirement,abstain,causal,PASS,ok
SENTINEL-Q2-C,sentinel,narrow_factual,answer,causal,PASS,ok
SENTINEL-Q3-CONTROL,sentinel,relationship,answer,relationship,PASS,ok
