case_id,pool,family,expected_behavior,gold_mode,required_prop_id,required_prop_text,support_ref,support_role,extractive_exact_match,deterministic_normalized_match,structural_certificate_match,sentinel_atomic_mapping_pass,context_or_distractor_used_as_authority,hostile_semantic_review_required,PASS_FAIL,reason
R2O-PG-P010,primary,trade_offs,abstain,context_only,R2O-PG-P010-PROP01,"Goal drift is uncontrolled movement away from the accepted task contract, authority boundary, or authorized change process.

The authority records what has been admitted, attempted, observed, accepted, deferred, failed, or cancelled.",R2O-PG-P010-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P010,primary,trade_offs,abstain,context_only,R2O-PG-P010-PROP01,"Goal drift is uncontrolled movement away from the accepted task contract, authority boundary, or authorized change process.

The authority records what has been admitted, attempted, observed, accepted, deferred, failed, or cancelled.",R2O-PG-P010-SUP02,comparison_peer,True,True,,,False,False,PASS,ok
R2O-PG-P011,primary,architecture_components,abstain,context_only,R2O-PG-P011-PROP01,A harness is not the model itself and is not the generated answer.,R2O-PG-P011-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P012,primary,capability_skill_requirement,abstain,context_only,R2O-PG-P012-PROP01,This canonical concept accounts for Source PR #19 review item `m23review_e2847c567565549ea21b89ee7b572d47` with Daniel's `approve_new` decision.,R2O-PG-P012-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P013,primary,enumerative_list,answer,extractive,R2O-PG-P013-PROP01,"A harness agent loop is a governed loop in which a model may propose actions, the harness checks authority, tools execute under constraints, observations update durable state, and a stopping policy decides whether to continue or terminate.",R2O-PG-P013-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P014,primary,multi_part,partial,extractive,R2O-PG-P014-PROP01,"This concept adopts the Source PR #19 item `Verification` only after narrowing it to a harness-specific definition, as Daniel required for edited items.",R2O-PG-P014-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P015,primary,broad_synthesis,answer,extractive,R2O-PG-P015-PROP01,"Verification may pass, fail, request repair, require human review, or trigger governed defer.

The state should include thread identity, admitted task contract, current turn, outstanding decisions, tool proposals, observations, evidence pointers, progress markers, and terminal status.",R2O-PG-P015-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P015,primary,broad_synthesis,answer,extractive,R2O-PG-P015-PROP01,"Verification may pass, fail, request repair, require human review, or trigger governed defer.

The state should include thread identity, admitted task contract, current turn, outstanding decisions, tool proposals, observations, evidence pointers, progress markers, and terminal status.",R2O-PG-P015-SUP02,comparison_peer,True,True,,,False,False,PASS,ok
R2O-PG-P016,primary,narrow_factual,answer,extractive,R2O-PG-P016-PROP01,"This concept adopts the Source PR #19 item `Harnessability` only after narrowing it to a harness-specific definition, as Daniel required for edited items.",R2O-PG-P016-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P017,primary,ambiguous_clarification,clarify-compatible,extractive,R2O-PG-P017-PROP01,This canonical concept accounts for Source PR #19 review item `m23review_94192ccc4b53c47e32942121da3775c2` with Daniel's `edit` decision.,R2O-PG-P017-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P018,primary,insufficient_evidence,abstain,context_only,R2O-PG-P018-PROP01,"The service can own task admission, durable thread state, turn execution, tool authorization, observations, evidence, and completion transitions while multiple clients render or steer the same underlying run.",R2O-PG-P018-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P019,primary,partially_sufficient_evidence,partial,extractive,R2O-PG-P019-PROP01,"Items carry messages, tool proposals, approvals, observations, evidence, or status updates.",R2O-PG-P019-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P020,primary,conflicting_evidence,abstain,context_only,R2O-PG-P020-PROP01,"The boundary should normalize the request, validate required fields, attach identity and authority context, reject unsupported operations, and prevent ambiguous instructions from entering the execution core as if they were approved work.",R2O-PG-P020-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P021,primary,lexical_similarity_low_relevance,abstain,context_only,R2O-PG-P021-PROP01,This canonical concept accounts for Source PR #19 review item `m23review_12cf0442aff36f0400715efe1ee1025a` with Daniel's `approve_new` decision.,R2O-PG-P021-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P022,primary,short_query,answer,extractive,R2O-PG-P022-PROP01,LLM agent architectures should be reviewed across separate engineering dimensions because multiple patterns can coexist at different layers of one production system.,R2O-PG-P022-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P023,primary,long_compositional_query,answer,extractive,R2O-PG-P023-PROP01,"The control plane lets an operator approve decisions, change scope, defer unsafe work, request evidence, and separate product progress from blocked promotion paths.",R2O-PG-P023-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P024,primary,paraphrase_equivalence,answer,extractive,R2O-PG-P024-PROP01,"A stopping policy prevents repeated observation, blind reruns, and open-ended repair loops by requiring evidence-rich attempts and a governed defer path when the current run cannot safely finish.",R2O-PG-P024-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P025,primary,adversarial_category_mutation,abstain,context_only,R2O-PG-P025-PROP01,"A stopping policy is the set of rules that decides whether execution continues, waits, completes, fails, cancels, escalates, or defers.",R2O-PG-P025-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P026,primary,causal_strengthening_negative,abstain,context_only,R2O-PG-P026-PROP01,This canonical concept accounts for Source PR #19 review item `m23review_37d35397ace98d69c00b0e8fe4cb1458` with Daniel's `approve_new` decision.,R2O-PG-P026-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P027,primary,universalization_negative,abstain,context_only,R2O-PG-P027-PROP01,"This concept adopts the Source PR #19 item `Tool Calling` only after narrowing it to a harness-specific definition, as Daniel required for edited items.",R2O-PG-P027-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P028,primary,modality_necessity_strengthening_negative,abstain,context_only,R2O-PG-P028-PROP01,A tool call proposal is a structured request by a model or agent to perform an external operation through a harness-controlled tool interface.,R2O-PG-P028-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P029,primary,temporal_version,abstain,structural,R2O-PG-P029-PROP01,Only 1 record is available; a newer-version ordering cannot be established.,R2O-PG-P029-SUP01,primary,False,False,PASS,,False,False,PASS,ok
R2O-PG-P030,primary,provenance_source_trace,answer,structural,R2O-PG-P030-PROP01,concepts/agent-execution-paths is bound to provenance record dec_5e65310b419c0c66a498b255aa6e3fca whose subject is concepts/agent-execution-paths.,R2O-PG-P030-SUP02,provenance_record,False,False,PASS,,False,False,PASS,ok
R2O-PG-P031,primary,graph_relationship,answer,structural,R2O-PG-P031-PROP01,concepts/harness-agent-loop requires concepts/stopping-policy.,R2O-PG-P031-SUP02,graph_edge,False,False,PASS,,False,False,PASS,ok
R2O-PG-P032,primary,mixed_domain_distractor,abstain,context_only,R2O-PG-P032-PROP01,Adaptive planning revises the remaining plan when execution evidence invalidates a material assumption.,R2O-PG-P032-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P033,primary,simple_definition,answer,extractive,R2O-PG-P033-PROP01,Fixed decision logic keeps the next step under application control when the sequence is already known.,R2O-PG-P033-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P034,primary,contextual_definition,answer,extractive,R2O-PG-P034-PROP01,Hierarchical Task Network planning is a formal approach that refines compound tasks through domain methods until executable primitive tasks remain.,R2O-PG-P034-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P035,primary,role_responsibility,answer,extractive,R2O-PG-P035-PROP01,"A robust production architecture commonly combines the strategies:

1.",R2O-PG-P035-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P036,primary,impact_effect,abstain,context_only,R2O-PG-P036-PROP01,The quartz lantern protocol is the internal acceptance phrase for the M3 candidate pipeline.,R2O-PG-P036-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P037,primary,causal_why,abstain,context_only,R2O-PG-P037-PROP01,This canonical concept accounts for Source PR #19 review item `m23review_8566693dd5241e3269f5038e01394f6b` with Daniel's `approve_new` decision.,R2O-PG-P037-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P038,primary,how_process,answer,extractive,R2O-PG-P038-PROP01,"A completion gate is the authority that decides whether a terminal candidate satisfies the task contract, evidence requirements, and safety boundaries.",R2O-PG-P038-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P039,primary,comparison,abstain,context_only,R2O-PG-P039-PROP01,"The state should include thread identity, admitted task contract, current turn, outstanding decisions, tool proposals, observations, evidence pointers, progress markers, and terminal status.

Harnessability is the measurable fitness of a task, environment, or tool surface for governed harness execution.",R2O-PG-P039-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P039,primary,comparison,abstain,context_only,R2O-PG-P039-PROP01,"The state should include thread identity, admitted task contract, current turn, outstanding decisions, tool proposals, observations, evidence pointers, progress markers, and terminal status.

Harnessability is the measurable fitness of a task, environment, or tool surface for governed harness execution.",R2O-PG-P039-SUP02,comparison_peer,True,True,,,False,False,PASS,ok
R2O-PG-P040,primary,relationship,answer,extractive,R2O-PG-P040-PROP01,This canonical concept accounts for Source PR #19 review item `m23review_ce9255a1a87d7f2cc87c88ec26e1dc9a` with Daniel's `approve_new` decision.,R2O-PG-P040-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P041,primary,examples,answer,extractive,R2O-PG-P041-PROP01,"Drift appears when the run optimizes for a different outcome, adds unapproved scope, changes gates to force completion, treats diagnostics as product work, or uses later observations to rewrite the original authority.",R2O-PG-P041-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P042,primary,trade_offs,abstain,context_only,R2O-PG-P042-PROP01,"A harness is the governed execution and control system around an LLM or agent runtime.

A headless harness service is a UI-independent execution core that exposes harness operations through a stable protocol rather than tying them to one chat client or browser surface.",R2O-PG-P042-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P042,primary,trade_offs,abstain,context_only,R2O-PG-P042-PROP01,"A harness is the governed execution and control system around an LLM or agent runtime.

A headless harness service is a UI-independent execution core that exposes harness operations through a stable protocol rather than tying them to one chat client or browser surface.",R2O-PG-P042-SUP02,comparison_peer,True,True,,,False,False,PASS,ok
R2O-PG-P043,primary,architecture_components,abstain,context_only,R2O-PG-P043-PROP01,"The loop should expose allowed tools, per-step evidence, retry bounds, duplicate detection, escalation, and completion checks.",R2O-PG-P043-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P044,primary,capability_skill_requirement,abstain,context_only,R2O-PG-P044-PROP01,"This concept is harness-specific. It does not name every agent loop in the abstract; it names the lifecycle inside a harness where proposal, authorization, execution, observation, verification, and stopping are explicit state transitions.",R2O-PG-P044-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P045,primary,enumerative_list,answer,extractive,R2O-PG-P045-PROP01,"Harness verification is the set of harness-owned checks that decide whether an agent result, state transition, or side effect is acceptable under the task contract.",R2O-PG-P045-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P046,primary,multi_part,partial,extractive,R2O-PG-P046-PROP01,This canonical concept accounts for Source PR #19 review item `m23review_a91d9910fbd95236a02e5f1bf52a1b27` with Daniel's `edit` decision.,R2O-PG-P046-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P047,primary,broad_synthesis,answer,extractive,R2O-PG-P047-PROP01,"Harnessability is the measurable fitness of a task, environment, or tool surface for governed harness execution.

Items carry messages, tool proposals, approvals, observations, evidence, or status updates.",R2O-PG-P047-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P047,primary,broad_synthesis,answer,extractive,R2O-PG-P047-PROP01,"Harnessability is the measurable fitness of a task, environment, or tool surface for governed harness execution.

Items carry messages, tool proposals, approvals, observations, evidence, or status updates.",R2O-PG-P047-SUP02,comparison_peer,True,True,,,False,False,PASS,ok
R2O-PG-P048,primary,narrow_factual,answer,extractive,R2O-PG-P048-PROP01,A headless harness service is a UI-independent execution core that exposes harness operations through a stable protocol rather than tying them to one chat client or browser surface.,R2O-PG-P048-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P049,primary,ambiguous_clarification,clarify-compatible,extractive,R2O-PG-P049-PROP01,This canonical concept accounts for Source PR #19 review item `m23review_ee3af10c8e0f2f6d9fb49c6c7b1f308c` with Daniel's `approve_new` decision.,R2O-PG-P049-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P050,primary,insufficient_evidence,abstain,context_only,R2O-PG-P050-PROP01,This canonical concept accounts for Source PR #19 review item `m23review_08f2083f1643842c7266a7fa3e7118b1` with Daniel's `approve_new` decision.,R2O-PG-P050-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P051,primary,partially_sufficient_evidence,partial,extractive,R2O-PG-P051-PROP01,"A request boundary is the ingress layer that establishes identity, tenant or repository scope, schema validity, policy eligibility, and admission before a harness run is created.",R2O-PG-P051-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P052,primary,conflicting_evidence,abstain,context_only,R2O-PG-P052-PROP01,- Agent architecture patterns can coexist because they operate at different architectural layers rather than competing for one role.,R2O-PG-P052-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P053,primary,lexical_similarity_low_relevance,abstain,context_only,R2O-PG-P053-PROP01,"`knowledge-source` is the human-authored source of truth. Generated indexes, release manifests, runtime caches, R2 snapshots, and Oracle deployment state are outputs rather than authoring inputs.",R2O-PG-P053-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P054,primary,short_query,answer,extractive,R2O-PG-P054-PROP01,This canonical concept accounts for Source PR #19 review item `m23review_784ebc246b86b22be547d2f4c006ca64` with Daniel's `approve_new` decision.,R2O-PG-P054-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P055,primary,long_compositional_query,answer,extractive,R2O-PG-P055-PROP01,This canonical concept accounts for Source PR #19 review item `m23review_7c7842b8a5e71c5f7577b26c27e2f73f` with Daniel's `approve_new` decision.,R2O-PG-P055-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P056,primary,paraphrase_equivalence,answer,extractive,R2O-PG-P056-PROP01,"The contract should name the requested result, allowed actions, forbidden mutations, required proof, acceptance criteria, budget or attempt limits, escalation conditions, and the authority that can mark the work complete.",R2O-PG-P056-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P057,primary,adversarial_category_mutation,abstain,context_only,R2O-PG-P057-PROP01,"A task contract is the explicit agreement that describes the required outcome, constraints, evidence, authority limits, and completion conditions for a bounded unit of work.",R2O-PG-P057-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P058,primary,causal_strengthening_negative,abstain,context_only,R2O-PG-P058-PROP01,This concept replaces the broader Tool Calling label for P1 adoption.,R2O-PG-P058-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P059,primary,universalization_negative,abstain,context_only,R2O-PG-P059-PROP01,An agent system's execution path defines how work moves from an initial condition to a terminal outcome.,R2O-PG-P059-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P060,primary,modality_necessity_strengthening_negative,abstain,context_only,R2O-PG-P060-PROP01,A DAG represents tasks and directional dependencies without cycles inside one run.,R2O-PG-P060-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P061,primary,temporal_version,abstain,structural,R2O-PG-P061-PROP01,Only 1 record is available; a newer-version ordering cannot be established.,R2O-PG-P061-SUP01,primary,False,False,PASS,,False,False,PASS,ok
R2O-PG-P062,primary,provenance_source_trace,answer,structural,R2O-PG-P062-PROP01,concepts/agent-execution-paths is bound to provenance record dec_5e65310b419c0c66a498b255aa6e3fca whose subject is concepts/agent-execution-paths.,R2O-PG-P062-SUP02,provenance_record,False,False,PASS,,False,False,PASS,ok
R2O-PG-P063,primary,simple_definition,answer,extractive,R2O-PG-P063-PROP01,A state machine represents named states and legal transitions selected by guards or conditions.,R2O-PG-P063-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P064,primary,contextual_definition,answer,extractive,R2O-PG-P064-PROP01,ReAct-style execution chooses the next local action after observing the result of the previous action.,R2O-PG-P064-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P065,primary,impact_effect,abstain,context_only,R2O-PG-P065-PROP01,"Validation strength should match task risk.

Natural-language review can detect missing requirements or weak sequencing in low-risk work.",R2O-PG-P065-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P066,primary,causal_why,abstain,context_only,R2O-PG-P066-PROP01,"A bounded executor should receive:

- one step objective;
- allowed tools and inputs;
- expected output schema;
- completion criteria;
- prohibited actions;
- time, token, tool, and money budgets;
- maximum action and retry counts;
- current progress state;
- escalation policy;
- provenance requirements.",R2O-PG-P066-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P067,primary,comparison,answer,extractive,R2O-PG-P067-PROP01,"Completion is a state transition owned by the harness or by an explicitly named reviewer.

Canonical run authority is the system of record that owns authoritative run identity, state, transitions, evidence pointers, approvals, and terminal status.",R2O-PG-P067-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P067,primary,comparison,answer,extractive,R2O-PG-P067-PROP01,"Completion is a state transition owned by the harness or by an explicitly named reviewer.

Canonical run authority is the system of record that owns authoritative run identity, state, transitions, evidence pointers, approvals, and terminal status.",R2O-PG-P067-SUP02,comparison_peer,True,True,,,False,False,PASS,ok
R2O-PG-P068,primary,architecture_components,abstain,context_only,R2O-PG-P068-PROP01,A harness is not the model itself and is not the generated answer.,R2O-PG-P068-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P069,primary,broad_synthesis,answer,extractive,R2O-PG-P069-PROP01,"Verification may pass, fail, request repair, require human review, or trigger governed defer.

The state should include thread identity, admitted task contract, current turn, outstanding decisions, tool proposals, observations, evidence pointers, progress markers, and terminal status.",R2O-PG-P069-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P069,primary,broad_synthesis,answer,extractive,R2O-PG-P069-PROP01,"Verification may pass, fail, request repair, require human review, or trigger governed defer.

The state should include thread identity, admitted task contract, current turn, outstanding decisions, tool proposals, observations, evidence pointers, progress markers, and terminal status.",R2O-PG-P069-SUP02,comparison_peer,True,True,,,False,False,PASS,ok
R2O-PG-P071,primary,mixed_domain_distractor,abstain,context_only,R2O-PG-P071-PROP01,Adaptive planning revises the remaining plan when execution evidence invalidates a material assumption.,R2O-PG-P071-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P072,primary,temporal_version,abstain,structural,R2O-PG-P072-PROP01,Only 1 record is available; a newer-version ordering cannot be established.,R2O-PG-P072-SUP01,primary,False,False,PASS,,False,False,PASS,ok
R2O-PG-H001,primary,graph_relationship,answer,structural,R2O-PG-H001-PROP01,concepts/harness requires concepts/harness-verification.,R2O-PG-H001-SUP02,graph_edge,False,False,PASS,,False,False,PASS,ok
R2O-PG-P070,holdout,graph_relationship,answer,structural,R2O-PG-P070-PROP01,concepts/agent-planning-strategies complements concepts/agent-execution-paths.,R2O-PG-P070-SUP02,graph_edge,False,False,PASS,,False,False,PASS,ok
R2O-PG-H002,holdout,mixed_domain_distractor,abstain,context_only,R2O-PG-H002-PROP01,Goals and policies affect every decision strategy but are not peer planning algorithms.,R2O-PG-H002-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H003,holdout,simple_definition,answer,extractive,R2O-PG-H003-PROP01,Plan-and-Execute creates a global task structure before carrying out individual steps.,R2O-PG-H003-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H004,holdout,contextual_definition,answer,extractive,R2O-PG-H004-PROP01,"Use the least flexible mechanism that can reliably complete the task:

1.",R2O-PG-H004-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H029,holdout,role_responsibility,answer,extractive,R2O-PG-H029-PROP01,"A steering control plane is the human-owned authority layer that sets intent, boundaries, evidence requirements, escalation rules, and acceptance policy for harnessed execution.",R2O-PG-H029-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H030,holdout,causal_why,abstain,context_only,R2O-PG-H030-PROP01,"Drift should be handled by re-contracting the task, recording a new decision, or stopping. It should not be hidden inside implementation details.",R2O-PG-H030-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H007,holdout,how_process,answer,extractive,R2O-PG-H007-PROP01,"The gate may accept, reject, request repair, defer for human decision, or mark the task blocked.",R2O-PG-H007-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H008,holdout,comparison,abstain,context_only,R2O-PG-H008-PROP01,"Durable thread state is persistent interaction state that survives client disconnects, spans turns, and preserves enough context to resume without repeating unsafe side effects.

A proposal should include the tool name, intended action, arguments, expected effect, risk class, and evidence or context.",R2O-PG-H008-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H008,holdout,comparison,abstain,context_only,R2O-PG-H008-PROP01,"Durable thread state is persistent interaction state that survives client disconnects, spans turns, and preserves enough context to resume without repeating unsafe side effects.

A proposal should include the tool name, intended action, arguments, expected effect, risk class, and evidence or context.",R2O-PG-H008-SUP02,comparison_peer,True,True,,,False,False,PASS,ok
R2O-PG-H031,holdout,trade_offs,abstain,context_only,R2O-PG-H031-PROP01,"A proposal should include the tool name, intended action, arguments, expected effect, risk class, and evidence or context. The harness may approve, edit, reject, defer, or require human authorization.",R2O-PG-H031-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H010,holdout,provenance_source_trace,answer,structural,R2O-PG-H010-PROP01,concepts/goal-drift is bound to provenance record m23review_0df0b6cb698712b98425cc2b05265565 whose subject is concepts/goal-drift.,R2O-PG-H010-SUP02,provenance_record,False,False,PASS,,False,False,PASS,ok
R2O-PG-H011,holdout,paraphrase_equivalence,answer,extractive,R2O-PG-H011-PROP01,"A useful harness makes proposals, tool calls, observations, approvals, failures, retries, and terminal outcomes visible as governed state.",R2O-PG-H011-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H012,holdout,relationship,abstain,context_only,R2O-PG-H012-PROP01,"This concept adopts the Source PR #19 item `Agent Loop` only after narrowing it to a harness-specific definition, as Daniel required for edited items.",R2O-PG-H012-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H013,holdout,mixed_domain_distractor,abstain,context_only,R2O-PG-H013-PROP01,This canonical concept accounts for Source PR #19 review item `m23review_998e1adb9a6ce64f12a4fc9477eebe30` with Daniel's `edit` decision.,R2O-PG-H013-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H014,holdout,conflicting_evidence,abstain,context_only,R2O-PG-H014-PROP01,"This concept is not generic verification. It is the harness-specific acceptance boundary for claims, artifacts, tool effects, evidence, ACL behavior, rollback readiness, and completion status.",R2O-PG-H014-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H015,holdout,adversarial_category_mutation,abstain,context_only,R2O-PG-H015-PROP01,"A highly harnessable workflow has stable inputs, explicit authority, deterministic or inspectable effects, typed failures, replayable evidence, and clear completion gates.",R2O-PG-H015-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H016,holdout,lexical_similarity_low_relevance,abstain,context_only,R2O-PG-H016-PROP01,"In this Source adoption, harnessability is not a general quality word.",R2O-PG-H016-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H017,holdout,insufficient_evidence,abstain,context_only,R2O-PG-H017-PROP01,"Headless operation lets a CLI, web app, background worker, or review console share one governed execution record instead of creating disconnected task memories.",R2O-PG-H017-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H018,holdout,universalization_negative,abstain,context_only,R2O-PG-H018-PROP01,"The item turn thread protocol is a harness interaction model that separates typed interaction items, pausable work turns, and durable threads.",R2O-PG-H018-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H019,holdout,causal_strengthening_negative,abstain,context_only,R2O-PG-H019-PROP01,"The separation helps a harness resume interrupted work, display progress, request authority, and preserve evidence without collapsing every action into a single chat transcript.",R2O-PG-H019-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H020,holdout,modality_necessity_strengthening_negative,abstain,context_only,R2O-PG-H020-PROP01,"The request boundary is the first point where ACLs, tenant isolation, secret redaction, and mutation authority can be enforced before any model or tool observes the task.",R2O-PG-H020-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H021,holdout,mixed_domain_distractor,abstain,context_only,R2O-PG-H021-PROP01,LLM agent architectures should be reviewed across separate engineering dimensions because multiple patterns can coexist at different layers of one production system.,R2O-PG-H021-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H022,holdout,conflicting_evidence,abstain,context_only,R2O-PG-H022-PROP01,Steering is not a hidden prompt trick. It is an explicit product and governance interface for decisions that remain human-owned.,R2O-PG-H022-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H023,holdout,adversarial_category_mutation,abstain,context_only,R2O-PG-H023-PROP01,"A steering control plane is the human-owned authority layer that sets intent, boundaries, evidence requirements, escalation rules, and acceptance policy for harnessed execution.",R2O-PG-H023-SUP01,primary,True,True,,,False,False,PASS,ok
